Method,Model,Accuracy,Precision,F1 Score,ROC-AUC
SFS,Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9889219576719577
SFS,Decision Tree,0.9035087719298246,0.9552238805970149,0.920863309352518,0.9087301587301587
SFS,SVM,0.9473684210526315,0.9714285714285714,0.9577464788732394,0.9930555555555556
SFS,Naive Bayes,0.9210526315789473,0.9565217391304348,0.9361702127659575,0.978505291005291
SFS,KNN,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9770171957671957
SBS,Random Forest,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9948743386243386
SBS,Decision Tree,0.9122807017543859,0.9696969696969697,0.927536231884058,0.9206349206349206
SBS,SVM,0.9385964912280702,0.9710144927536232,0.950354609929078,0.9950396825396824
SBS,Naive Bayes,0.9298245614035088,0.9571428571428572,0.9436619718309859,0.9887566137566137
SBS,KNN,0.9210526315789473,0.9565217391304348,0.9361702127659575,0.988095238095238
SFFS,Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9889219576719577
SFFS,Decision Tree,0.9035087719298246,0.9552238805970149,0.920863309352518,0.9087301587301587
SFFS,SVM,0.9473684210526315,0.9714285714285714,0.9577464788732394,0.9930555555555556
SFFS,Naive Bayes,0.9210526315789473,0.9565217391304348,0.9361702127659575,0.978505291005291
SFFS,KNN,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9770171957671957
SFBS,Random Forest,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9953703703703702
SFBS,Decision Tree,0.8947368421052632,1.0,0.9090909090909091,0.9166666666666667
SFBS,SVM,0.956140350877193,0.971830985915493,0.965034965034965,0.9933862433862434
SFBS,Naive Bayes,0.956140350877193,0.9466666666666667,0.9659863945578231,0.9917328042328042
SFBS,KNN,0.956140350877193,0.958904109589041,0.9655172413793104,0.9831349206349206
